iter 1 | avg_loss 0.51456 | avg_accuracy 96.97574853897095
iter 35 | avg_loss 0.026883004 | avg_accuracy 96.57191157341003
iter 36 | avg_loss 0.026642956400000008 | avg_accuracy 96.5574598312378
iter 37 | avg_loss 0.026402861 | avg_accuracy 96.55149459838867
iter 38 | avg_loss 0.026162813400000002 | avg_accuracy 96.47281646728516
iter 39 | avg_loss 0.025942741800000002 | avg_accuracy 96.47281646728516
iter 40 | avg_loss 0.025702694200000004 | avg_accuracy 96.47281646728516
iter 41 | avg_loss 0.025502646400000002 | avg_accuracy 96.45458459854126
iter 42 | avg_loss 0.025302575 | avg_accuracy 96.4693021774292
iter 43 | avg_loss 0.025102527200000002 | avg_accuracy 96.4510703086853
iter 44 | avg_loss 0.024922503399999997 | avg_accuracy 96.4510703086853
iter 45 | avg_loss 0.0247424318 | avg_accuracy 96.4510703086853
iter 46 | avg_loss 0.024562384200000002 | avg_accuracy 96.4510703086853
iter 47 | avg_loss 0.024362360399999998 | avg_accuracy 96.43661975860596
iter 48 | avg_loss 0.0242022888 | avg_accuracy 96.47308349609375
iter 49 | avg_loss 0.024042265 | avg_accuracy 96.47308349609375
iter 50 | avg_loss 0.0239022172 | avg_accuracy 96.47308349609375
iter 51 | avg_loss 0.023742169599999998 | avg_accuracy 96.47904753684998
iter 52 | avg_loss 0.023602122000000003 | avg_accuracy 96.46433115005493
iter 53 | avg_loss 0.023422098 | avg_accuracy 96.46433115005493
iter 54 | avg_loss 0.0233020742 | avg_accuracy 96.44961476325989
iter 55 | avg_loss 0.023162026600000003 | avg_accuracy 96.44961476325989
iter 56 | avg_loss 0.0230220028 | avg_accuracy 96.44961476325989
iter 57 | avg_loss 0.022901931179999998 | avg_accuracy 96.38267040252686
iter 58 | avg_loss 0.02274193118 | avg_accuracy 96.38267040252686
iter 59 | avg_loss 0.0226018835 | avg_accuracy 96.38267040252686
iter 60 | avg_loss 0.022501859660000005 | avg_accuracy 96.38267040252686
iter 61 | avg_loss 0.022361835820000002 | avg_accuracy 96.38267040252686
iter 62 | avg_loss 0.022241788140000003 | avg_accuracy 96.38267040252686
iter 63 | avg_loss 0.02212178814 | avg_accuracy 96.3791561126709
iter 64 | avg_loss 0.02202174044 | avg_accuracy 96.33779048919678
iter 65 | avg_loss 0.02190169276 | avg_accuracy 96.33779048919678
iter 66 | avg_loss 0.02178169276 | avg_accuracy 96.33779048919678
iter 67 | avg_loss 0.02166164508 | avg_accuracy 96.3086211681366
iter 68 | avg_loss 0.02154164508 | avg_accuracy 96.3086211681366
iter 69 | avg_loss 0.0214415974 | avg_accuracy 96.3086211681366
iter 70 | avg_loss 0.021361573560000003 | avg_accuracy 96.3086211681366
iter 71 | avg_loss 0.02124154972 | avg_accuracy 96.29390478134155
iter 72 | avg_loss 0.021141549720000003 | avg_accuracy 96.25254034996033
iter 73 | avg_loss 0.02102147818 | avg_accuracy 96.25254034996033
iter 74 | avg_loss 0.020941454340000002 | avg_accuracy 96.24392986297607
iter 75 | avg_loss 0.0208214305 | avg_accuracy 96.24392986297607
iter 76 | avg_loss 0.02074140666 | avg_accuracy 96.21476292610168
iter 77 | avg_loss 0.02064138282 | avg_accuracy 96.21476292610168
iter 78 | avg_loss 0.020561358980000003 | avg_accuracy 96.19653105735779
iter 79 | avg_loss 0.02048135898 | avg_accuracy 96.21124744415283
iter 80 | avg_loss 0.020381311300000003 | avg_accuracy 96.21124744415283
iter 81 | avg_loss 0.0202813113 | avg_accuracy 96.21124744415283
iter 82 | avg_loss 0.02020128746 | avg_accuracy 96.19056463241577
iter 83 | avg_loss 0.020101239780000002 | avg_accuracy 96.19056463241577
iter 84 | avg_loss 0.02002123978 | avg_accuracy 96.19056463241577
iter 85 | avg_loss 0.01996123978 | avg_accuracy 96.16988182067871
iter 86 | avg_loss 0.019841215939999997 | avg_accuracy 96.16988182067871
iter 87 | avg_loss 0.01976119208 | avg_accuracy 96.16988182067871
iter 88 | avg_loss 0.01970116824 | avg_accuracy 96.15543007850647
iter 89 | avg_loss 0.0196011444 | avg_accuracy 96.15543007850647
iter 90 | avg_loss 0.019521144400000003 | avg_accuracy 96.18486404418945
iter 91 | avg_loss 0.019461144399999998 | avg_accuracy 96.16663217544556
iter 92 | avg_loss 0.019361120560000004 | avg_accuracy 96.1810839176178
iter 93 | avg_loss 0.019281072880000003 | avg_accuracy 96.1810839176178
iter 94 | avg_loss 0.01922107288 | avg_accuracy 96.1810839176178
iter 95 | avg_loss 0.01912107288 | avg_accuracy 96.20176672935486
iter 96 | avg_loss 0.019061025200000005 | avg_accuracy 96.20176672935486
iter 97 | avg_loss 0.0189810252 | avg_accuracy 96.20176672935486
iter 98 | avg_loss 0.018921025200000004 | avg_accuracy 96.20176672935486
iter 99 | avg_loss 0.018841025200000003 | avg_accuracy 96.20176672935486
iter 100 | avg_loss 0.01876097752 | avg_accuracy 96.18705034255981
