iter 1 | avg_loss 2.3314 | avg_accuracy 34.919418692588806
iter 43 | avg_loss 0.7519599999999999 | avg_accuracy 85.67601084709167
iter 44 | avg_loss 0.74238 | avg_accuracy 85.88621735572815
iter 45 | avg_loss 0.73314 | avg_accuracy 85.96278429031372
iter 46 | avg_loss 0.7242 | avg_accuracy 86.0874605178833
iter 47 | avg_loss 0.7155799999999999 | avg_accuracy 86.12749099731445
iter 48 | avg_loss 0.7072200000000001 | avg_accuracy 86.29029870033264
iter 49 | avg_loss 0.6991799999999999 | avg_accuracy 86.35214805603027
iter 50 | avg_loss 0.6913600000000001 | avg_accuracy 86.40934586524963
iter 51 | avg_loss 0.6838200000000001 | avg_accuracy 86.50116205215454
iter 52 | avg_loss 0.6765000000000001 | avg_accuracy 86.6614305973053
iter 53 | avg_loss 0.6693999999999999 | avg_accuracy 86.73632740974426
iter 54 | avg_loss 0.6625000000000001 | avg_accuracy 86.85287237167358
iter 55 | avg_loss 0.65586 | avg_accuracy 86.94513201713562
iter 56 | avg_loss 0.6494000000000001 | avg_accuracy 87.03251004219055
iter 57 | avg_loss 0.6431000000000001 | avg_accuracy 87.05949187278748
iter 58 | avg_loss 0.63702 | avg_accuracy 87.09243893623352
iter 59 | avg_loss 0.6310800000000001 | avg_accuracy 87.18610167503357
iter 60 | avg_loss 0.6253 | avg_accuracy 87.3437237739563
iter 61 | avg_loss 0.6196999999999999 | avg_accuracy 87.45772957801819
iter 62 | avg_loss 0.61426 | avg_accuracy 87.5305163860321
iter 63 | avg_loss 0.60896 | avg_accuracy 87.57299780845642
iter 64 | avg_loss 0.60378 | avg_accuracy 87.63608932495117
iter 65 | avg_loss 0.5987399999999999 | avg_accuracy 87.67500400543213
iter 66 | avg_loss 0.5938 | avg_accuracy 87.67500400543213
iter 67 | avg_loss 0.58906 | avg_accuracy 87.739497423172
iter 68 | avg_loss 0.5844 | avg_accuracy 87.83905148506165
iter 69 | avg_loss 0.5798599999999999 | avg_accuracy 87.8681468963623
iter 70 | avg_loss 0.5754 | avg_accuracy 87.99482941627502
iter 71 | avg_loss 0.57108 | avg_accuracy 88.10812592506409
iter 72 | avg_loss 0.5668599999999999 | avg_accuracy 88.17613363265991
iter 73 | avg_loss 0.56274 | avg_accuracy 88.19436550140381
iter 74 | avg_loss 0.55872 | avg_accuracy 88.20908188819885
iter 75 | avg_loss 0.5547599999999999 | avg_accuracy 88.20908188819885
iter 76 | avg_loss 0.55092 | avg_accuracy 88.21994543075562
iter 77 | avg_loss 0.54718 | avg_accuracy 88.28444004058838
iter 78 | avg_loss 0.54348 | avg_accuracy 88.36576223373413
iter 79 | avg_loss 0.5399 | avg_accuracy 88.45690608024597
iter 80 | avg_loss 0.53636 | avg_accuracy 88.47758769989014
iter 81 | avg_loss 0.5329200000000001 | avg_accuracy 88.52120518684387
iter 82 | avg_loss 0.52958 | avg_accuracy 88.53943705558777
iter 83 | avg_loss 0.52626 | avg_accuracy 88.55388879776001
iter 84 | avg_loss 0.52302 | avg_accuracy 88.55415344238281
iter 85 | avg_loss 0.5198600000000001 | avg_accuracy 88.59306812286377
iter 86 | avg_loss 0.51676 | avg_accuracy 88.659747838974
iter 87 | avg_loss 0.51372 | avg_accuracy 88.69129419326782
iter 88 | avg_loss 0.51072 | avg_accuracy 88.72283935546875
iter 89 | avg_loss 0.5078 | avg_accuracy 88.72283935546875
iter 90 | avg_loss 0.50496 | avg_accuracy 88.78328680992126
iter 91 | avg_loss 0.50214 | avg_accuracy 88.7808346748352
iter 92 | avg_loss 0.4993600000000001 | avg_accuracy 88.7990665435791
iter 93 | avg_loss 0.49666 | avg_accuracy 88.84043216705322
iter 94 | avg_loss 0.49399999999999994 | avg_accuracy 88.8875663280487
iter 95 | avg_loss 0.49144 | avg_accuracy 88.9762556552887
iter 96 | avg_loss 0.48888 | avg_accuracy 88.99070620536804
iter 97 | avg_loss 0.48634000000000005 | avg_accuracy 88.99097204208374
iter 98 | avg_loss 0.48388 | avg_accuracy 89.04241800308228
iter 99 | avg_loss 0.48146000000000005 | avg_accuracy 89.12136316299438
iter 100 | avg_loss 0.47908 | avg_accuracy 89.12136316299438
