iter 1 | avg_loss 0.7069799999999999 | avg_accuracy 96.27401113510132
iter 77 | avg_loss 0.55074 | avg_accuracy 96.47759914398193
iter 78 | avg_loss 0.55144 | avg_accuracy 96.4437210559845
iter 79 | avg_loss 0.35584 | avg_accuracy 96.46585822105408
iter 80 | avg_loss 0.48128000000000004 | avg_accuracy 96.47718548774719
iter 81 | avg_loss 0.5353399999999999 | avg_accuracy 96.47480845451355
iter 82 | avg_loss 0.36612 | avg_accuracy 96.53472423553467
iter 83 | avg_loss 0.48192 | avg_accuracy 96.55673503875732
iter 84 | avg_loss 0.5372999999999999 | avg_accuracy 96.50608777999878
iter 85 | avg_loss 0.36858 | avg_accuracy 96.52099609375
iter 86 | avg_loss 0.33134 | avg_accuracy 96.6227376461029
iter 87 | avg_loss 0.45866000000000007 | avg_accuracy 96.50317907333374
iter 88 | avg_loss 0.5254000000000001 | avg_accuracy 96.47163271903992
iter 89 | avg_loss 0.35262000000000004 | avg_accuracy 96.52431845664978
iter 90 | avg_loss 0.47658000000000006 | avg_accuracy 96.37439727783203
iter 91 | avg_loss 0.35234 | avg_accuracy 96.59781575202942
iter 92 | avg_loss 0.48207999999999995 | avg_accuracy 96.45691633224487
iter 93 | avg_loss 0.5195000000000001 | avg_accuracy 96.55673503875732
iter 94 | avg_loss 0.55402 | avg_accuracy 96.52053833007812
iter 95 | avg_loss 0.5510200000000001 | avg_accuracy 96.4388906955719
iter 96 | avg_loss 0.37249999999999994 | avg_accuracy 96.53571367263794
iter 97 | avg_loss 0.48578 | avg_accuracy 96.47189736366272
iter 98 | avg_loss 0.35468 | avg_accuracy 96.56627058982849
iter 99 | avg_loss 0.47846 | avg_accuracy 96.55673503875732
iter 100 | avg_loss 0.5198200000000001 | avg_accuracy 96.55084252357483
