iter 1 | avg_loss 0.66394 | avg_accuracy 96.69002294540405
iter 74 | avg_loss 0.0214851736 | avg_accuracy 95.93145251274109
iter 75 | avg_loss 0.0213850782 | avg_accuracy 95.93145251274109
iter 76 | avg_loss 0.021285030599999998 | avg_accuracy 95.93145251274109
iter 77 | avg_loss 0.0212049828 | avg_accuracy 95.93145251274109
iter 78 | avg_loss 0.0211049114 | avg_accuracy 95.94590425491333
iter 79 | avg_loss 0.0210448876 | avg_accuracy 95.93145251274109
iter 80 | avg_loss 0.020944815999999998 | avg_accuracy 95.94590425491333
iter 81 | avg_loss 0.020844720599999998 | avg_accuracy 95.94590425491333
iter 82 | avg_loss 0.0207646968 | avg_accuracy 95.94590425491333
iter 83 | avg_loss 0.0206846252 | avg_accuracy 95.96658706665039
iter 84 | avg_loss 0.0206045776 | avg_accuracy 95.96658706665039
iter 85 | avg_loss 0.02054453 | avg_accuracy 95.96658706665039
iter 86 | avg_loss 0.0204844822 | avg_accuracy 95.93504071235657
iter 87 | avg_loss 0.020384434599999997 | avg_accuracy 95.93504071235657
iter 88 | avg_loss 0.020324363 | avg_accuracy 95.92032313346863
iter 89 | avg_loss 0.0202443392 | avg_accuracy 95.92032313346863
iter 90 | avg_loss 0.0201642914 | avg_accuracy 95.88737487792969
iter 91 | avg_loss 0.020084243800000002 | avg_accuracy 95.86669206619263
iter 92 | avg_loss 0.0200441962 | avg_accuracy 95.86669206619263
iter 93 | avg_loss 0.019964172199999998 | avg_accuracy 95.86669206619263
iter 94 | avg_loss 0.0199241008 | avg_accuracy 95.83752393722534
iter 95 | avg_loss 0.019824077000000002 | avg_accuracy 95.80212473869324
iter 96 | avg_loss 0.019764052999999997 | avg_accuracy 95.80212473869324
iter 97 | avg_loss 0.0197040054 | avg_accuracy 95.80212473869324
iter 98 | avg_loss 0.019643957799999997 | avg_accuracy 95.77057957649231
iter 99 | avg_loss 0.01958391 | avg_accuracy 95.76706528663635
iter 100 | avg_loss 0.019523862399999998 | avg_accuracy 95.74883341789246
